Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,stay_length,income_amount,num_rooms,total_cost,income_ratio,adults_to_child,adults_to_babies,total_people,checkin_day,checkin_week,checkin_dayofweek,checkin_month,checkin_year,days_to_booking,days_to_stay_ratio
39428300,1,40,1,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,10,218,1,25,1,218,0.11467889908256881,1.0,1.0,4,1,27,2,7,2015,41,41.0
77491756,1,49,1,2,2,2,1,3,3,0,1,1,1,2,1,1,1,2,0,185,1,100,2,370,0.2702702702702703,1.0,1.0,6,1,27,2,7,2015,36,36.0
73747291,1,42,2,1,1,2,1,3,3,0,1,1,1,1,1,1,1,2,0,119,4,25,2,952,0.026260504201680673,1.0,1.0,6,2,27,3,7,2015,3,0.75
67301739,2,25,3,3,3,3,2,4,3,0,1,1,1,2,2,1,1,1,5,144,1,200,2,288,0.6944444444444444,0.75,0.75,7,2,27,3,7,2015,12,12.0
77222321,1,62,1,4,4,2,3,1,1,0,1,1,1,1,3,2,1,1,10,242,1,50,1,242,0.2066115702479339,1.0,1.0,2,3,27,4,7,2015,13,13.0
55152245,2,34,3,3,3,1,2,5,2,1,1,2,1,1,1,2,1,1,10,143,1,200,2,286,0.6993006993006993,0.4,0.4,8,3,27,4,7,2015,13,13.0
87139343,1,53,3,4,1,2,2,2,1,0,1,2,2,2,1,1,1,1,25,212,1,25,1,212,0.1179245283018868,0.5,0.5,3,3,27,4,7,2015,0,0.0
7647912,2,40,1,2,3,1,1,2,1,0,2,1,1,1,1,1,1,2,0,170,1,200,1,170,1.1764705882352942,0.5,0.5,3,3,27,4,7,2015,8,8.0
94296865,2,59,3,2,3,4,3,3,2,0,1,1,1,3,3,1,1,1,10,245,1,200,1,245,0.8163265306122449,0.6666666666666666,0.6666666666666666,5,6,19,2,5,2015,84,84.0
93087487,2,21,1,1,2,4,1,2,3,0,3,2,1,2,1,2,1,1,20,212,3,100,1,636,0.15723270440251572,1.5,1.5,5,22,17,2,4,2015,72,24.0
21683013,2,69,3,4,1,3,1,1,3,0,1,1,1,3,1,2,1,2,0,106,3,25,1,318,0.07861635220125786,3.0,3.0,4,23,26,1,6,2015,20,6.666666666666667
41573356,1,52,1,3,2,3,2,4,3,0,3,2,1,1,1,1,1,1,10,208,1,100,2,416,0.2403846153846154,0.75,0.75,7,5,27,6,7,2015,34,34.0
27295370,2,55,2,3,4,1,1,1,2,0,1,2,1,1,1,2,1,2,0,145,1,50,1,145,0.3448275862068966,2.0,2.0,3,5,27,6,7,2015,67,67.0
84744933,1,42,4,1,1,2,2,1,2,0,3,2,1,1,1,1,1,1,25,180,4,25,1,720,0.034722222222222224,2.0,2.0,3,5,27,6,7,2015,14,3.5
79158038,1,69,3,3,4,4,2,1,2,2,1,1,1,2,1,1,1,1,15,246,2,50,1,492,0.1016260162601626,2.0,2.0,5,5,27,6,7,2015,35,17.5
49456071,2,42,2,1,3,1,3,3,3,1,1,1,1,1,2,1,1,1,10,203,1,200,2,406,0.49261083743842365,1.0,1.0,7,5,27,6,7,2015,67,67.0
99089071,1,22,4,1,4,3,3,1,2,0,1,1,1,1,2,1,1,2,0,220,3,50,1,660,0.07575757575757576,2.0,2.0,3,5,27,6,7,2015,34,11.333333333333334
26323232,2,32,4,2,1,3,2,1,1,2,1,2,1,1,3,2,1,2,0,182,1,25,1,182,0.13736263736263737,1.0,1.0,4,2,27,3,7,2015,11,11.0
