iter	MultiClass
0	1.089868138
1	1.082922142
2	1.077758488
3	1.072425731
4	1.068392471
5	1.064523537
6	1.061268175
7	1.058839356
8	1.0568069
9	1.055037452
10	1.053422908
11	1.051875735
12	1.050709421
13	1.049402352
14	1.047982133
15	1.046950637
16	1.04581362
17	1.045403659
18	1.044815916
19	1.044273807
20	1.043679684
21	1.042355947
22	1.041926962
23	1.041231503
24	1.040634617
25	1.040223307
26	1.039053989
27	1.038620533
28	1.037785195
29	1.037323328
30	1.037056045
31	1.036602675
32	1.035761385
33	1.03510228
34	1.034748094
35	1.034119735
36	1.033699736
37	1.033311981
38	1.032778542
39	1.03233669
40	1.031777946
41	1.031137661
42	1.030739817
43	1.030349083
44	1.029939978
45	1.029225492
46	1.028729567
47	1.028235426
48	1.027811498
49	1.027457611
50	1.026983645
51	1.026632329
52	1.026309345
53	1.025819208
54	1.025381649
55	1.025044634
56	1.024421966
57	1.024024012
58	1.023649249
59	1.023024094
60	1.022404299
61	1.021991269
62	1.021707072
63	1.021334372
64	1.021070218
65	1.020795885
66	1.020224742
67	1.019927323
68	1.019575936
69	1.019113895
70	1.018734423
71	1.018378192
72	1.017868596
73	1.017543958
74	1.01720785
75	1.016823677
76	1.016486069
77	1.016230387
78	1.015990815
79	1.015412854
80	1.015141059
81	1.014910382
82	1.014680473
83	1.014429008
84	1.014198875
85	1.013358464
86	1.012864696
87	1.012264304
88	1.011824885
89	1.011332839
90	1.011093453
91	1.01070368
92	1.010340017
93	1.010114403
94	1.009848877
95	1.009599565
96	1.008882489
97	1.008382569
98	1.007888916
99	1.007487037
100	1.007062921
101	1.006274924
102	1.005932318
103	1.00550643
104	1.005059193
105	1.00435541
106	1.003957348
107	1.003597928
108	1.003015056
109	1.002679398
110	1.002077457
111	1.001408156
112	1.001043385
113	1.000629341
114	0.9998876755
115	0.9994772574
116	0.9987357985
117	0.9982107808
118	0.9977352628
119	0.9973238659
120	0.9967270211
121	0.9960637904
122	0.9953779552
123	0.9948293491
124	0.9944099393
125	0.9938743636
126	0.9931576731
127	0.9926026355
128	0.9921027557
129	0.991670354
130	0.9911869424
131	0.9904548959
132	0.9900508651
133	0.9893522141
134	0.9887502267
135	0.9882469577
136	0.9876655499
137	0.9871979544
138	0.9865871843
139	0.9861687809
140	0.9856017408
141	0.9849578855
142	0.9844058409
143	0.9836130173
144	0.9830321243
145	0.9825418717
146	0.9821148357
147	0.9816531461
148	0.9811859531
149	0.9807747001
150	0.9802561
151	0.9795948594
152	0.9792405229
153	0.9788688094
154	0.9783830002
155	0.9778165929
156	0.9772384258
157	0.9766809328
158	0.9762316474
159	0.9758506608
160	0.9751980389
161	0.9746136398
162	0.9741321563
163	0.9736770817
164	0.9730154677
165	0.9723263495
166	0.971636776
167	0.9708299337
168	0.970106571
169	0.9693888309
170	0.9688776278
171	0.9684457053
172	0.9678577519
173	0.9673539326
174	0.9669660538
175	0.9664874805
176	0.9660097275
177	0.9654304056
178	0.9649565506
179	0.9646617613
180	0.9641915709
181	0.9637487562
182	0.9629727533
183	0.962392173
184	0.9619003819
185	0.9611573119
186	0.9606875597
187	0.9603362341
188	0.9598626468
189	0.9584586273
190	0.9578974377
191	0.9574990322
192	0.957126071
193	0.9565993908
194	0.956257175
195	0.9558802357
196	0.9552362799
197	0.9542548584
198	0.9537217492
199	0.9532644676
200	0.9526280469
201	0.952044507
202	0.9515691428
203	0.9511244376
204	0.9505681479
205	0.9501009221
206	0.9495640305
207	0.9490831975
208	0.9484533995
209	0.948014851
210	0.947676656
211	0.947104177
212	0.9467101696
213	0.9461151281
214	0.9456328121
215	0.9451754697
216	0.9446060076
217	0.9442154915
218	0.9437067275
219	0.9432816345
220	0.9427675761
221	0.9423736182
222	0.9419093613
223	0.9413747861
224	0.9409845646
225	0.9405292732
226	0.9399769246
227	0.9394027226
228	0.938677043
229	0.9383406417
230	0.9378201477
231	0.9374199796
232	0.9369865606
233	0.9362077962
234	0.9357631577
235	0.935229423
236	0.9348604193
237	0.9345072777
238	0.9338348038
239	0.9333961961
240	0.9329404543
241	0.9325051629
242	0.9318817519
243	0.9313711059
244	0.930867846
245	0.9303303468
246	0.9299142552
247	0.9294646907
248	0.9290277624
249	0.9285061568
250	0.9278488567
251	0.9273773407
252	0.9269122182
253	0.9262470663
254	0.9259075995
255	0.9253681851
256	0.9248754257
257	0.9246835778
258	0.9243335016
259	0.9239036568
260	0.9228984445
261	0.9223915416
262	0.921689094
263	0.9213521168
264	0.9207784682
265	0.9201499198
266	0.919580733
267	0.919028113
268	0.918531003
269	0.9180585605
270	0.9175209316
271	0.917087698
272	0.9165690846
273	0.9160671316
274	0.9155892189
275	0.9151522481
276	0.9147012519
277	0.9141176591
278	0.9138070872
279	0.9134202506
280	0.9129619393
281	0.9125087694
282	0.9121544098
283	0.9115927357
284	0.9111771017
285	0.9106146389
286	0.9101610763
287	0.9096809382
288	0.9092472512
289	0.9087857321
290	0.9083748341
291	0.9077913174
292	0.9073330541
293	0.9069276369
294	0.9065582645
295	0.9060199933
296	0.9054969142
297	0.9049251131
298	0.9043683411
299	0.9037800126
300	0.9034235346
301	0.9030585867
302	0.9025438845
303	0.9021350198
304	0.9018725076
305	0.9015513317
306	0.9008753045
307	0.9004781755
308	0.9002015432
309	0.8998711218
310	0.8995391408
311	0.8990006158
312	0.8986128921
313	0.8981260154
314	0.8977979501
315	0.8969471042
316	0.8965020337
317	0.8959668049
318	0.8955851157
319	0.8951635987
320	0.8947074781
321	0.8943404529
322	0.8937617165
323	0.8931731391
324	0.8926737109
325	0.8922065587
326	0.8916999687
327	0.8913781485
328	0.8907558675
329	0.8903947625
330	0.8900039133
331	0.8894026575
332	0.889031825
333	0.8886297634
334	0.8880763825
335	0.8876773287
336	0.8872660104
337	0.8867711448
338	0.8862237643
339	0.8857891269
340	0.8855378644
341	0.8850536377
342	0.8846999114
343	0.8843140144
344	0.8838344488
345	0.8833540878
346	0.8830152061
347	0.882600593
348	0.8819686609
349	0.8816054467
350	0.8812720717
351	0.8809563552
352	0.8805529961
353	0.8801541638
354	0.8795448245
355	0.8791271922
356	0.8787196398
357	0.8783596909
358	0.8779599233
359	0.8777298934
360	0.8773667085
361	0.8769930172
362	0.8765764039
363	0.876191079
364	0.875778897
365	0.8754211838
366	0.8749895035
367	0.8746901772
368	0.8742292452
369	0.8738312
370	0.8734401938
371	0.8730074071
372	0.8726046023
373	0.8722293349
374	0.8718646747
375	0.8714471806
376	0.8709715999
377	0.8703846456
378	0.869886771
379	0.8694733536
380	0.8691037507
381	0.868622903
382	0.8681836107
383	0.867680256
384	0.8673120725
385	0.8669424969
386	0.8666917172
387	0.8662506477
388	0.8660130365
389	0.8657538416
390	0.8654023858
391	0.8648898851
392	0.864546896
393	0.8642085752
394	0.8638029067
395	0.863336571
396	0.8628742862
397	0.8624933626
398	0.8620523747
399	0.8615426766
400	0.8611291565
401	0.860787556
402	0.860398132
403	0.8600125482
404	0.8597026572
405	0.8592577471
406	0.8589089218
407	0.85847942
408	0.8579430621
409	0.8575833876
410	0.8571865436
411	0.8567660015
412	0.8564190004
413	0.8561930462
414	0.8557507973
415	0.85551435
416	0.8549902811
417	0.8544401493
418	0.8541087031
419	0.8537130731
420	0.8532646588
421	0.8528992804
422	0.8525744179
423	0.8521173405
424	0.851737033
425	0.8514114629
426	0.8509356536
427	0.8507060212
428	0.8505050464
429	0.8501799207
430	0.8498780081
431	0.8496430558
432	0.8492917642
433	0.8489539434
434	0.8486445317
435	0.8482705677
436	0.8478800752
437	0.8473227452
438	0.8468949675
439	0.846447043
440	0.8461197997
441	0.8458534878
442	0.8453013256
443	0.8449227796
444	0.8445454775
445	0.844184799
446	0.8439677479
447	0.843662087
448	0.8433205964
449	0.8430171378
450	0.8427401123
451	0.8423953192
452	0.8420300816
453	0.8414420387
454	0.8411289145
455	0.8408157054
456	0.8405528931
457	0.8400753828
458	0.8396876301
459	0.8393738843
460	0.8388170777
461	0.8383961751
462	0.8380190955
463	0.8375129847
464	0.8370127977
465	0.8366786018
466	0.8363958868
467	0.8360540831
468	0.8357620203
469	0.8352432507
470	0.8347725981
471	0.8343680759
472	0.8340157186
473	0.8336851373
474	0.8333770825
475	0.8329727906
476	0.8327210849
477	0.8322864314
478	0.831938292
479	0.8315721015
480	0.8310889815
481	0.8307663055
482	0.830502913
483	0.8300317179
484	0.8296508082
485	0.8291557272
486	0.8289212885
487	0.8285034154
488	0.828215736
489	0.8277361358
490	0.8273608109
491	0.826929655
492	0.8265666746
493	0.8262955589
494	0.8259632561
495	0.8256749553
496	0.8254099015
497	0.8249993715
498	0.8247742359
499	0.8244017106
500	0.8239827646
501	0.823494747
502	0.8230833801
503	0.8227599171
504	0.8225434394
505	0.8221626635
506	0.8216503561
507	0.8211492641
508	0.8208163833
509	0.8204154865
510	0.8201042089
511	0.8197697011
512	0.8195561526
513	0.8192290772
514	0.8187870293
515	0.8185624134
516	0.8182023287
517	0.8177287941
518	0.8173664267
519	0.8170831056
520	0.8168559449
521	0.816561783
522	0.816115577
523	0.8157322819
524	0.8152539577
525	0.8147907598
526	0.8143814383
527	0.8141715945
528	0.8138070304
529	0.8133997924
530	0.8129793452
531	0.8126504994
532	0.8122395632
533	0.8119562714
534	0.8115934913
535	0.8112325494
536	0.8109406965
537	0.8105874556
538	0.810208539
539	0.8096251778
540	0.8092845622
541	0.8089527029
542	0.8085007443
543	0.8080830578
544	0.8077882541
545	0.8074824968
546	0.8072229442
547	0.8067683546
548	0.8064224468
549	0.8060241067
