iter	Passed	Remaining
0	199	159091
1	216	86581
2	248	66139
3	289	57690
4	316	50389
5	335	44396
6	360	40810
7	377	37418
8	408	35884
9	442	34962
10	464	33328
11	499	32782
12	516	31256
13	534	29999
14	568	29740
15	582	28553
16	604	27861
17	630	27413
18	651	26763
19	670	26155
20	685	25447
21	707	25004
22	722	24424
23	747	24161
24	773	23964
25	794	23650
26	817	23407
27	830	22907
28	856	22762
29	869	22316
30	884	21950
31	911	21869
32	924	21491
33	940	21194
34	972	21246
35	990	21023
36	1004	20716
37	1019	20444
38	1035	20195
39	1048	19928
40	1060	19625
41	1074	19386
42	1108	19520
43	1134	19484
44	1155	19387
45	1186	19443
46	1204	19296
47	1215	19049
48	1230	18865
49	1262	18936
50	1298	19074
51	1320	18988
52	1332	18775
53	1352	18677
54	1376	18645
55	1387	18432
56	1408	18353
57	1430	18300
58	1442	18112
59	1464	18065
60	1491	18072
61	1510	17978
62	1535	17960
63	1558	17920
64	1576	17829
65	1597	17765
66	1609	17611
67	1620	17444
68	1649	17475
69	1661	17329
70	1674	17195
71	1703	17225
72	1731	17248
73	1756	17229
74	1772	17138
75	1786	17020
76	1816	17051
77	1840	17040
78	1857	16949
79	1876	16889
80	1887	16757
81	1917	16786
82	1949	16840
83	1979	16871
84	1991	16749
85	2008	16674
86	2033	16662
87	2049	16583
88	2071	16545
89	2098	16556
90	2115	16482
91	2139	16461
92	2161	16429
93	2185	16416
94	2199	16322
95	2211	16219
96	2222	16106
97	2238	16031
98	2253	15957
99	2276	15937
100	2300	15923
101	2314	15835
102	2343	15860
103	2367	15842
104	2394	15848
105	2424	15876
106	2439	15799
107	2466	15803
108	2483	15746
109	2498	15674
110	2529	15703
111	2547	15647
112	2562	15579
113	2578	15514
114	2604	15512
115	2618	15439
116	2634	15377
117	2652	15331
118	2673	15301
119	2697	15285
120	2714	15235
121	2735	15201
122	2752	15149
123	2773	15121
124	2785	15040
125	2804	15001
126	2830	15002
127	2843	14930
128	2867	14914
129	2886	14874
130	2914	14884
131	2929	14826
132	2944	14764
133	2959	14709
134	2972	14642
135	2984	14572
136	2996	14499
137	3019	14484
138	3044	14479
139	3065	14453
140	3095	14466
141	3109	14406
142	3127	14367
143	3145	14331
144	3179	14360
145	3198	14328
146	3215	14283
147	3234	14250
148	3252	14211
149	3275	14192
150	3297	14174
151	3323	14166
152	3367	14241
153	3401	14267
154	3436	14298
155	3480	14367
156	3501	14340
157	3531	14347
158	3556	14337
159	3579	14318
160	3597	14276
161	3608	14212
162	3630	14189
163	3675	14252
164	3687	14189
165	3701	14138
166	3716	14087
167	3729	14029
168	3768	14069
169	3795	14065
170	3833	14100
171	3858	14089
172	3900	14135
173	3948	14206
174	3987	14239
175	4012	14225
176	4053	14266
177	4083	14268
178	4110	14261
179	4134	14240
180	4151	14198
181	4183	14205
182	4222	14236
183	4260	14264
184	4310	14330
185	4344	14340
186	4381	14364
187	4402	14330
188	4440	14355
189	4471	14356
190	4528	14439
191	4597	14559
192	4629	14558
193	4668	14582
194	4697	14572
195	4744	14621
196	4783	14642
197	4815	14640
198	4847	14640
199	4876	14630
200	4905	14618
201	4943	14635
202	4973	14626
203	5002	14616
204	5027	14592
205	5094	14689
206	5129	14695
207	5156	14675
208	5191	14679
209	5217	14658
210	5239	14625
211	5270	14618
212	5303	14616
213	5325	14584
214	5358	14579
215	5385	14561
216	5414	14545
217	5452	14557
218	5488	14561
219	5509	14525
220	5553	14549
221	5587	14548
222	5610	14515
223	5646	14520
224	5694	14552
225	5731	14557
226	5758	14534
227	5786	14518
228	5817	14505
229	5846	14488
230	5880	14484
231	5905	14459
232	5936	14447
233	5967	14434
234	5995	14415
235	6024	14397
236	6059	14395
237	6097	14398
238	6138	14407
239	6191	14445
240	6236	14466
241	6280	14480
242	6329	14508
243	6378	14534
244	6426	14557
245	6467	14564
246	6538	14639
247	6603	14699
248	6644	14703
249	6678	14692
250	6719	14697
251	6761	14704
252	6806	14715
253	6844	14712
254	6883	14711
255	6912	14689
256	6963	14712
257	6998	14703
258	7041	14708
259	7080	14704
260	7119	14702
261	7151	14685
262	7194	14689
263	7240	14700
264	7297	14732
265	7327	14710
266	7389	14752
267	7514	14917
268	7585	14972
269	7643	15003
270	7682	14995
271	7738	15021
272	7773	15006
273	7804	14982
274	7884	15052
275	7940	15075
276	8008	15120
277	8026	15071
278	8138	15197
279	8220	15265
280	8289	15310
281	8351	15341
282	8400	15345
283	8453	15359
284	8486	15335
285	8510	15294
286	8583	15342
287	8612	15310
288	8652	15299
289	8708	15314
290	8744	15295
291	8785	15284
292	8857	15326
293	8888	15297
294	8926	15280
295	8983	15295
296	9029	15291
297	9058	15259
298	9092	15236
299	9143	15238
300	9174	15208
301	9216	15198
302	9256	15182
303	9289	15157
304	9384	15230
305	9490	15321
306	9541	15322
307	9595	15328
308	9644	15324
309	9735	15388
310	9798	15405
311	9844	15397
312	9917	15430
313	9996	15471
314	10040	15459
315	10083	15444
316	10150	15466
317	10201	15462
318	10258	15468
319	10298	15447
320	10341	15432
321	10381	15411
322	10426	15397
323	10492	15414
324	10533	15395
325	10561	15357
326	10607	15343
327	10661	15342
328	10694	15309
329	10750	15311
330	10786	15283
331	10813	15243
332	10856	15225
333	10898	15205
334	10940	15186
335	11013	15208
336	11086	15231
337	11144	15233
338	11172	15192
339	11214	15172
340	11246	15137
341	11308	15144
342	11415	15210
343	11467	15201
344	11497	15163
345	11542	15145
346	11576	15112
347	11614	15084
348	11659	15067
349	11731	15083
350	11790	15082
351	11827	15053
352	11869	15029
353	11914	15011
354	11937	14963
355	11981	14942
356	12034	14933
357	12090	14927
358	12146	14920
359	12202	14913
360	12247	14893
361	12278	14856
362	12304	14813
